Title,URL,release_year,rating,votes,type,des,pos,crews,stars
11. Mayi Ri,/title/tt28641821/?ref_=sr_i_11,2023– ,6.8,(288),TV Series,A woman takes a courageous journey against cultural boundaries.,"https://m.media-amazon.com/images/M/MV5BZGNhMzQ3ZjEtOGJjYS00YTM1LThjZjYtODFjOTFhMDYyMGIxXkEyXkFqcGdeQXVyMTcwNDA4Nzg5._V1_QL75_UY207_CR123,0,140,207_.jpg","['Drama', 'Back to top']","['Zara Noor Abbas', 'Sohail Ahmed', 'Danyal Zafar', 'Adeel Afzal', 'Saba Faisal', 'Saad Azhar', 'Tamkenat Mansoor', 'Maira Saeed', 'Ali Jaan', 'Arham Khan', 'Adnan Shah Tipu', 'Farah Tufail', 'Saqib Sumeer', 'Afifa Shah', 'Ahmad Abdur Rehman']"
12. Standup Girl,/title/tt30791918/?ref_=sr_i_12,2023– ,9.6,(22),TV Series,"Embark on a thrilling odyssey as a young woman navigates an identity crisis, shattering stereotypes on her path to fulfilling her dream of becoming a stand-up comedian.","https://m.media-amazon.com/images/M/MV5BOGVlZDUwZjMtZWMwMC00NzA0LWI3N2EtZjBiZTNjZjMyOTJhXkEyXkFqcGdeQXVyMTczMzE4MDQx._V1_QL75_UY207_CR0,0,140,207_.jpg","['Short', 'Drama', 'Romance', 'Back to top']","['Ghazala Kaifee', 'Abdul Muqeet', 'Mariyam Nafees']"
13. Article 370,/title/tt13061966/?ref_=sr_i_13,2020,5.6,(17),Short,"Article 370 is the story of 8 month pregnant Kashmiri girl Gul-e-Rana who's fallen prey to the worst communication blockade in the world's most embattled region, Kashmir, as she suffers in the misery of the curfew while waiting for her husband to return back home.","https://m.media-amazon.com/images/M/MV5BZGUwMWYxNWMtODViMC00MjcxLTgwNzQtMGE3Zjk2YzljNjAyXkEyXkFqcGdeQXVyMTI0MDc4NTg1._V1_QL75_UX140_CR0,21,140,207_.jpg","['Drama', 'Back to top']","['Faysal Qureshi', 'Dur-e-Fishan Saleem']"
14. Khaie,/title/tt30477931/?ref_=sr_i_14,2024– ,9.2,(60),TV Series,"A revenge saga that unfolds against the backdrop of the ancient tradition of Khaie,","https://m.media-amazon.com/images/M/MV5BOGNkMDE5NDktMGY1OC00OTE1LTk5ZTEtOTgwMzI2NzdjNWRjXkEyXkFqcGdeQXVyMTY4OTczODg2._V1_QL75_UX140_CR0,0,140,207_.jpg","['Action', 'Drama', 'Romance', 'Back to top']","['Hira Soomro', 'Yumna Zaidi', 'Wahaj Ali', 'Bushra Ansari', 'Mehmood Aslam', 'Farhan Ally Agha', 'Sabeena Farooq', 'Sameer Sohail']"
15. Tere Bin,/title/tt24854896/?ref_=sr_i_15,2022–2023,7.5,(1.9K),TV Series,"Life takes an unexpected turn for Meerab and Murtasim,as they are bound to face each other. As they fight the battles of ego,hate and self respect with each other, will they understand their true feelings for each other ?","https://m.media-amazon.com/images/M/MV5BNTgzNWI1OWEtYWY2Ny00YmRiLTg0NDctMDA5ZWViNDQ4Nzk1XkEyXkFqcGdeQXVyMTI0NzY1MTg5._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Feroze Khan', 'Srha Asghar', 'Sonya Hussyn', 'Dodi Khan', 'Shamoon Abbasi']"
16. Akhara,/title/tt30791877/?ref_=sr_i_16,2024– ,9.7,(58),TV Series,"Passion. Power. Purity. Get ready to experience a saga of blood, sweat and tears shed in the name of unbreakable family bond and intense love.","https://m.media-amazon.com/images/M/MV5BODk2ZGM2NDMtOWMyYS00YzY3LWEwZjMtOGNiMmNmZTMyMGQ2XkEyXkFqcGdeQXVyMTczMzE4MDQx._V1_QL75_UY207_CR0,0,140,207_.jpg","['Comedy', 'Drama', 'Romance', 'Back to top']","['Bilal Abbas Khan', 'Hina Khawaja Bayat', 'Madiha Imam', 'Aliee Shaikh', 'Furqan Qureshi', 'Srha Asghar', 'Fawad Khan', 'Beo Raana Zafar', 'Mohammad Ahmad', 'Kinza Razzak', 'Kiran Haq', 'Ahmed Zeb', 'Mariam Saleem']"
17. Ek Jhoothi Love Story,/title/tt12725076/?ref_=sr_i_17,2020– ,8.2,(962),TV Mini Series,"Salma and Sohail live a simple life yet aim for the stars when it comes to choosing a life partner, so in the pursue to find true love they both took lie as a support and set up fake profiles on social media to connect with their dreams.","https://m.media-amazon.com/images/M/MV5BZmEyMDUwODgtOWJhNS00NzY4LTg2NzItNmI2YTc0MzMxOWNlXkEyXkFqcGdeQXVyMTIzMzg0MTM2._V1_QL75_UY207_CR34,0,140,207_.jpg","['Drama', 'Back to top']","['Hira Soomro', 'Feroze Khan', 'Iqra Aziz', 'Junaid Khan', 'Sunita Marshall', 'Mirza Zain Baig', 'Jawed Sheikh', 'Usmaan Peerzada', 'Hina Khawaja Bayat', 'Rubina Ashraf', 'Waseem Abbas', 'Asma Abbas', 'Mehar Bano', 'Seemi Pasha', 'Tooba Siddiqui', 'Noor ul Hasan', 'Momina Iqbal', 'Muhammad Usman Malik']"
18. Khuda Aur Mohabbat 3,/title/tt14136642/?ref_=sr_i_18,2021,7.7,(2.4K),TV Series,Hero forms a special bond with his creator after failing in love.,"https://m.media-amazon.com/images/M/MV5BOTBmYTU0MzEtYTRhZC00ZDQzLWI3ZmYtMDEzMmYwMWVlMzg3XkEyXkFqcGdeQXVyMTI0NzY1MTg5._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Romance', 'Back to top']","['Ahmed Ali Akbar', 'Yumna Zaidi', 'Kiran Tabeer', 'Ushna Shah', 'Urwa Hocane', 'Adnan Shah', 'Mashal Khan', 'Faiq Mansoor', 'Laila Zuberi', 'Paras Masroor', 'Saboor Ali', 'Arslan Sultan', 'Raja Rano']"
19. Parizaad,/title/tt15218050/?ref_=sr_i_19,2021– ,9.2,(3.1K),TV Series,"Story of an innocent and sensitive man, Parizad deals with his day-to-day life and his love life.","https://m.media-amazon.com/images/M/MV5BNWUxNDc5Y2MtNTFmZi00ZTUyLTg4OGQtYWYzMDM0N2Y5ODIyXkEyXkFqcGdeQXVyMTI3ODQ3MDIw._V1_QL75_UY207_CR11,0,140,207_.jpg","['Drama', 'Back to top']","['Ayeza Khan', 'Wahaj Ali']"
20. Mein,/title/tt28603899/?ref_=sr_i_20,2023– ,7.3,(92),TV Series,"The internal search for oneself. Two members of the upper class take great pride in their individuality. But because of family pressure, they are both unlucky in love, which binds their fate together.","https://m.media-amazon.com/images/M/MV5BZmQwZGM0YmUtY2IyNy00Zjk0LWJmOGQtYjVjZGRhNjNjODBhXkEyXkFqcGdeQXVyMTMwODU3MTcw._V1_QL75_UY207_CR1,0,140,207_.jpg","['Biography', 'Drama', 'War', 'Back to top']","['Christopher Lee', 'Shireen Shah', 'James Curran', 'Zafar Hameed', 'Ahmed Memon', 'Fatima Hyder', 'Shashi Kapoor', 'Maria Aitken', 'Indira Varma', 'Robert Ashby', 'James Fox', 'Trevor Baxter', 'David Pottinger', 'Stephen Mortlock', 'Sohail Malik', 'Farooq Pal', 'David Quilter', 'Wakeel Farooqui']"
