Title,URL,release_year,rating,votes,type,des,pos,crews,stars
309. Khuda Aur Mohabbat,/title/tt1889883/?ref_=sr_i_309,2011– ,8.7,(1.2K),TV Series,A young college graduate from a modern elite family from Islamabad falls in love with the daughter of an Imam.,"https://m.media-amazon.com/images/M/MV5BN2VmMTQ1YzMtMjI0YS00OWM5LTkyZmItNDY4MzMyNmU2MDRjXkEyXkFqcGdeQXVyNjQ4NDM0MDk@._V1_QL75_UY207_CR3,0,140,207_.jpg","['Drama', 'Back to top']","['Nazish Jahangir', 'Sidra Niazi', 'Haroon Shahid']"
310. Inaam-e-Mohabbat,/title/tt21068364/?ref_=sr_i_310,2022,,,TV Series,"Sabeen Samiuddin Sehgal is a rich and influential businesswoman with a dominating and controlling demeanour. Sabeen along with her son, Mair and daughter, Sawera leads a comfortable life however Sabeen isn't aware of her children's wishes. To further strengthen her business, she wants both of her children to marry according to her own will. On the other hand, Anaya is a young, self-reliant girl who hails from a lower-middle-class family. Anaya's father has been working as a driver for Sabeen's household for the past fifteen years. Unaware of Anaya's family background, Mair falls in love with her however things take an unfortunate turn when Sabeen finds out about their love affair. In efforts to separate Mair and Anaya, Sabeen continues to disturb Anaya and her family. In an effort to destroy Anaya's life, Sabeen is able to create multiple misunderstandings that eventually take a toll on Mair's life as well. After facing several troubles and humiliation at the hands of Sabeen, will Anaya stand up for herself? Will Mair be able to realize his mother's true intentions and defend his love for Anaya?","https://m.media-amazon.com/images/M/MV5BMGJlYmE3YWMtODZlNy00NTE5LTgxM2UtMzBkNTEwYjAwMDUzXkEyXkFqcGdeQXVyMTI0NzY1MTg5._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Minal Khan', 'Emmad Irfani', 'Sajida Syed', 'Fahad Sheikh', 'Areeba Habib', 'Maira Khan', 'Hajra Yamin', 'Mohammad Ahmad', 'Nadia Hussain', 'Sabiha Hashmi']"
311. Jalan,/title/tt12531320/?ref_=sr_i_311,2020– ,6.3,(42),TV Series,A woman's married life starts to shatter when her sister devours on her prosperity.,"https://m.media-amazon.com/images/M/MV5BNzE5NWEyZjctYWNlMi00ZDNiLWEzYmUtZmIxZmI4MTUwMmRlXkEyXkFqcGdeQXVyNzI3MTAwMTc@._V1_QL75_UY207_CR1,0,140,207_.jpg","['Drama', 'Back to top']","['Ali Ansari', 'Hamza Firdous', 'Kinza Hashmi', 'Seemi Pasha']"
312. Seerat,/title/tt14993400/?ref_=sr_i_312,2018,7.3,(8),TV Series,"Seerat is a very heart touching and thought provoking story which portrays how vanity over good deeds slowly destroys human heart and instead people get inspiration from good deeds they tear apart and distant from each other. This is a story of Maria born Muslim but due to her Christian mother, society treats her and judge her as a non-Muslim not only society her blood relations also treats her as alien.The expedition of Maria as she confronts the people who judge others and shows them reflection of the mistreatment they did even with odds of society.","https://m.media-amazon.com/images/M/MV5BN2YzZTIwOTEtZTA4Ni00ZTY3LWJkMTgtNzkxNDQzNWZkZWQwXkEyXkFqcGdeQXVyMTMzMjE5NDky._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Fahad Mustafa', 'Faysal Qureshi', 'Aamina Sheikh', 'Alishba Yousuf']"
313. Main Abdul Qadir Hoon,/title/tt1949864/?ref_=sr_i_313,2010–2011,8.7,(277),TV Series,Main Abdul Qadir Hoon is a story of a man who seeks solace in religion after a heart-break but finds more than what he seeks.,"https://m.media-amazon.com/images/M/MV5BZmIzZGUyMDUtYzc5NC00MDcwLTkyMzMtOWUzMDI5Zjk1NDU1XkEyXkFqcGdeQXVyNjI1OTAxMDA@._V1_QL75_UY207_CR1,0,140,207_.jpg","['Drama', 'Back to top']","['Humayun Saeed', 'Sanam Baloch', 'Sonia Rehman']"
314. Doraha,/title/tt1889723/?ref_=sr_i_314,2008– ,8.0,(54),TV Series,,"https://m.media-amazon.com/images/M/MV5BZTUwYWVhMjUtZTFhMC00NGY2LWExNjEtZDJmMzY3OWMxNjE1XkEyXkFqcGdeQXVyNzMyNzU1MjE@._V1_QL75_UY207_CR20,0,140,207_.jpg","['Drama', 'Thriller', 'Back to top']","['Babar Ali', 'Deeba Begum', 'Ajab Gul', 'Meera', 'Nagma']"
315. Khoey Ho Tum Kahan,/title/tt0285650/?ref_=sr_i_315,2001,7.8,(63),,An adaptation of the Alfred Hitchcock classic Dial M for Murder. An Eastern Scenario is displayed in this movie.,"https://m.media-amazon.com/images/M/MV5BNDVmY2U2MzktMDNhMi00MzdhLWExZTYtMzM1NzI5ZmRhODAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAzMTc1NjE@._V1_QL75_UY207_CR3,0,140,207_.jpg","['Drama', 'Thriller', 'Back to top']","['Suhaee Abro', 'Eman Malik', 'Razia Malik', 'Syed Tanveer Hussain', 'Atif Akhtar Bhatti', 'Tayyab Ifzal', 'Ahsen Murad', 'Muhammed Safdar', 'Muhammed Aslam', 'Abdul Qadir', 'Salman Ahmed Khan', 'Malik Aslam', 'Abbas Ali', 'Ghulam Mohammed Khan Nazi', 'Ishtiaq Ahmad', 'David Pridmore', 'Mamir Waqar Ghuman']"
316. My Pure Land,/title/tt4489562/?ref_=sr_i_316,2017,6.3,(357),,Three women defend their home against a group of armed men who want to take it forcibly from them.,"https://m.media-amazon.com/images/M/MV5BNDZhYTIzOTItMmI1YS00NTE3LTg5ZWUtNGIxN2ZmODQ3ZDI0XkEyXkFqcGdeQXVyNzc1Njg2MDM@._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Fahad Ahmad', 'Haris Waheed', 'Danial Afzal Khan', 'Hina Altaf', 'Hina Dilpazir', 'Sajida Syed', 'Samina Ahmad', 'Beenish Chohan', 'Ayesha Gul', 'Srha Asghar', 'Rashid Farooqi', 'Humaira Bano', 'Shabbir Jan', 'Saife Hassan', 'Adla Khan', 'Kamran Jillani', 'Shaood Alvi', 'Maham Amir']"
317. Nisa,/title/tt19403322/?ref_=sr_i_317,2022– ,,,TV Mini Series,,"https://m.media-amazon.com/images/M/MV5BNTFlMzE4NDgtZjMzYi00ZmZiLThkMmItNjliZTU2NzAyOTVjXkEyXkFqcGdeQXVyMTMzMjc0MDYz._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Sami Khan', 'Madiha Imam', 'Furqan Qureshi', 'Behroze Sabzwari']"
318. Woh Mera Dil Tha,/title/tt8805478/?ref_=sr_i_318,2017– ,8.6,(21),TV Series,Story of three best friends turned into horror when suddenly Arham goes missing and other two faces the forceful decision leads their life in a struggled survival.,"https://m.media-amazon.com/images/M/MV5BZmQ2NTYyNjQtMDc5MC00OGU0LWI3ODgtZjIzYTA3NWYzNGQ3XkEyXkFqcGdeQXVyNzY3NzIwMTc@._V1_QL75_UY207_CR94,0,140,207_.jpg","['Drama', 'Fantasy', 'Mystery', 'Back to top']","['Nadeem Baig', 'Asif Khan', 'Ghulam Mohiuddin', 'Neeli', 'Shehroz Sabzwari', 'Jawed Sheikh', 'Talish']"
319. Mushkil,/title/tt0237478/?ref_=sr_i_319,1995,5.8,(59),,A boy is kidnapped by a powerful gang which is responsible for the human trafficking across Asia.His parents start to find him and they are ready to go as far as it takes to find him but they are helpless.,"https://m.media-amazon.com/images/M/MV5BZGUzMjk4MTktYWYyNi00MWMxLTg1OWYtZmRmMDI4NjdmNjdmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAzMTc1NjE@._V1_QL75_UY207_CR36,0,140,207_.jpg","['Action', 'Crime', 'Drama', 'Back to top']","['Kashaf Ali', 'Nadeem Baig', 'Ejaz Hussain Bugti', 'Shafqat Cheema', 'Nayyar Ejaz', 'Shehraz Ghufoor', 'Mariyam Ali Hussiain', 'Irfan Khoosat', 'Saima Saleem', 'Saleem Shah', 'Rabia Tabassum']"
320. The System,/title/tt3740152/?ref_=sr_i_320,2014,5.7,(243),,"The story is about a lower middle class boy Haider Ali who is the son of a Pesh Imam. He is in love with his neighborhood girl Sara. Haider's uncle is a normal government officer who do not consider taking bribe as a sin. Haider gets hooked by the local SHO in a mob firing case. Ultimately after getting away with this case Haider's life has taken a drastic change. Haider now see the bigger and bitter picture of the current system, and how it effects everybody. He decides to do something about this system and in the run his education, family, friends & love is on stake.","https://m.media-amazon.com/images/M/MV5BOWZjYjQ5MWYtYTQzMC00ZWQ5LTg3YmItNzZkNDNhZjUxZGJkXkEyXkFqcGdeQXVyMzc0NzU5MTc@._V1_QL75_UY207_CR7,0,140,207_.jpg","['Drama', 'Back to top']","['Mohammad Ali', 'Rani', 'Waheed Murad', 'Bindya', 'Sabiha Khanum', 'Shahnawaz Ghuman', 'Ali Ejaz', 'Ibrahim Nafees', 'Nanha', 'Rangeela', 'Kamaal Irani', 'Abdul Latif Baloch', 'Saqi']"
321. Behan Bhai,/title/tt27950745/?ref_=sr_i_321,1979,,,,"Mehmood is an aspiring film writer who saves Hamid, a jobless young man from suicide and develop a brotherly bond with him. One night, they save Samina from a mob and after Samina lost his mother, Mehmood takes full responsibility of her.","https://m.media-amazon.com/images/M/MV5BNTk5NjU4NDAtYTg5ZC00MWMxLWJhNjUtMTY3NjE0ZTcyZDYxXkEyXkFqcGdeQXVyNTA0ODI0NjA@._V1_QL75_UY207_CR7,0,140,207_.jpg","['Drama', 'Back to top']","['Muzaffar Adeeb', 'Fakhri Ahmad', 'Mohammad Ali', 'Sadiq Ali', 'Arsalan', 'Badar Bakht', 'Humayun Baloch', 'Umar Daraz', 'Javed Khan', 'Nadir Khan', 'Sajjad Kishwar', 'Mumtaz', 'Khalid Nizami', 'Humayun Qureshi', 'Rangeela', 'Nazan Saatçi', 'Saima', 'Jawed Sheikh']"
322. Zanjeer,/title/tt6710822/?ref_=sr_i_322,1986,,,,,"https://m.media-amazon.com/images/M/MV5BOWRlYmQyYzYtNWU2Ni00YmMyLTg3ZTItYTE0NjU4ZTFjYjcyXkEyXkFqcGdeQXVyMTkzNTcwMDc@._V1_QL75_UY207_CR5,0,140,207_.jpg","['Documentary', 'Adventure', 'Drama', 'Back to top']","['Issa Breibish', 'Kristian Bruun', 'Megan Gay', 'Grant Johnson', 'Susan Johnson', 'Daniel Rintz', 'Ted Simon']"
323. Somewhere Else Tomorrow,/title/tt3268034/?ref_=sr_i_323,2014,7.4,(408),,"A naive dreamer attempts to circumnavigate the world on his motorcycle, surviving only on the money he makes along the way.","https://m.media-amazon.com/images/M/MV5BMTAwOTI2MjQyNzFeQTJeQWpwZ15BbWU4MDAwNDQwOTQx._V1_QL75_UX140_CR0,1,140,207_.jpg","['Drama', 'Back to top']","['Chand Bawani', 'Ahsan Khan', 'Ramsha Khan', 'Jawed Sheikh']"
324. Shahrukh Ki Saliyan,/title/tt14993370/?ref_=sr_i_324,2019,8.3,(7),TV Series,"This is story of Shahrukh and Anoushay, who are colleagues in a TV channel and coincidently, Shahrukh lives in the same home as a tenant. Anoushay's father Havaldar MaulaBux, a retired police officer has all guns blazing when he finds out that Shahrukh wants to marry Anoushey, youngest of the four daughters. After much commotion Havaldar agrees that if Shahrukh manages to get all three of his daughters married then he will let Anoushay marry him. This seemingly easy job turns out to be a horrendous task as none of his sister-in-laws to be wants to be married. Can Shahrukh arrange grooms for his sister-in-laws or will he surrender his love?",,"['Drama', 'Back to top']","['Saniya Shamshad', 'Momina Iqbal', 'Ali Abbas']"
325. Grift,/title/tt25406466/?ref_=sr_i_325,2022–2023,3.1,(12),TV Series,"Roohi is a gorgeous young girl from a lower middle-class family who dreams of living a luxurious life. Her utmost desire to change her lifestyle makes her forget her morals as she becomes adamant about fulfilling her dreams by hook or by crook. On the other hand, Murad and Anisha live a comfortable and happy life. Despite having everything that they wished for, they still lack having a child. However, this doesn't affect their relationship as they continue to be enough for each other. Roohi's relentless greed for money and fame paves her way into the lives of Murad and Anisha. Both being extremely supportive and trustworthy of each other, Murad and Anisha fail to realize Roohi's interference until she defames Murad and demands her rights. Soon insecurities and shortcomings begin to cloud Anisha and Murad's relationship. Will Anisha succeed in protecting her marriage with Murad? Or will Roohi completely sabotage Anisha and Murad's marriage with her fraudulent and devious plan?","https://m.media-amazon.com/images/M/MV5BZjQxNDA4NWUtODM5My00OWUwLTlkMDAtYmU4ZDFhNDFmMGJiXkEyXkFqcGdeQXVyMTI0NzY1MTg5._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Azfar Rehman', 'Hina Altaf', 'Saba Hameed', 'Madiha Rizvi', 'Azra Mansoor']"
326. Aatish,/title/tt8947826/?ref_=sr_i_326,2018– ,8.6,(42),TV Series,,"https://m.media-amazon.com/images/M/MV5BMDc1ODAzMzgtMTU2MC00YmE1LTllNTMtOWU3MmJlNTQxMTNiXkEyXkFqcGdeQXVyNjI4NjQzNzM@._V1_QL75_UY207_CR15,0,140,207_.jpg","['Drama', 'Back to top']","['Saba Faisal', 'Nouman Ijaz', 'Bilal Abbas Khan']"
327. Dumpukht - Aatish e Ishq,/title/tt10298652/?ref_=sr_i_327,2016–2017,8.8,(26),TV Series,,,"['Drama', 'Back to top']","['Arij Fatyma', 'Sumbul Iqbal', 'Danish Taimoor', 'Affan Waheed']"
328. Aik Pal,/title/tt14994184/?ref_=sr_i_328,2014,8.4,(8),TV Series,"A single moment in life can take a person from the deep slumber of the mundane world to the bright awakening of the righteous path. Aik pal is the story of Bareera Maskhaf and Noor Fatima who were living very different lives, but found their true calling in life to reach the same destination.","https://m.media-amazon.com/images/M/MV5BOWQ1NjlkNjktZmRhOS00OWJhLTg4MDMtNGFiYTk5ZTA4MzRhXkEyXkFqcGdeQXVyMTA5MzE0OTM3._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Zahid Ahmed', 'Sana Askari', 'Aijaz Aslam', 'Sarwat Gilani', 'Bee Gul', 'Kamran Jillani', 'Aleezay Rasool', 'Tipu Shareef']"
329. Pujaran,/title/tt30324613/?ref_=sr_i_329,2017,,,TV Series,The story of a beautiful woman who is deprived of all the luxuries of life. She is ready for all the compromises and tough decisions. But in the end her greed destroys different lives around including her own life.,"https://m.media-amazon.com/images/M/MV5BMGExOTljYWUtMWMxOC00ZDJmLTliZDUtOWZhMTI4MjIxNDgzXkEyXkFqcGdeQXVyMTYwMTk3OTAw._V1_QL75_UY207_CR114,0,140,207_.jpg","['Drama', 'Back to top']","['Kiran Haq', 'Sami Khan']"
330. Sirat-e-Mustaqeem,/title/tt6982680/?ref_=sr_i_330,2012,8.6,(19),TV Series,,"https://m.media-amazon.com/images/M/MV5BN2Y2NjUxMDAtMTFjOC00NmU0LTgxNTgtYTdlZTliN2ExNjU5XkEyXkFqcGdeQXVyNjAyMjMzOTk@._V1_QL75_UY207_CR37,0,140,207_.jpg","['Drama', 'Back to top']","['Davis Akobundo', 'Armando Casado', 'Anil Fastenau', 'Erwin Geisler', 'Sven Gey', 'Ray Gonzales', 'Francis Gulzar', 'Nadia Gulzar', 'Diana Karsiew', 'Umer Latif', 'Amber Malik', 'Hermon Mengsteab', 'Leo Rupin', 'Taisiya Schumacher', 'Aneeq Shahid', 'Raymond Toh', 'Kleber Valim', 'Hanna Werth']"
331. Qazi,/title/tt14653804/?ref_=sr_i_331,2021,5.7,(215),,Qazi is the story of a young Pakistani refugee who is forced by economic and family circumstances to seek his fortune in Europe.,"https://m.media-amazon.com/images/M/MV5BYjNjY2UwODgtMWUyYi00MDAwLTljMzktY2E2YmY2YjdkMGZiXkEyXkFqcGdeQXVyNTExMTYzMTc@._V1_QL75_UY207_CR4,0,140,207_.jpg","['Drama', 'Back to top']","['Ratri Chowdhury', 'Hammad Butt', 'Hadiqa Kiyani', 'Alyy Khan', 'Jugan Kazim', 'Romaisa Khan', 'Khaqan Shahnawaz']"
332. Hadsa,/title/tt28686762/?ref_=sr_i_332,2023,8.5,(11),TV Series,,"https://m.media-amazon.com/images/M/MV5BZDlkNTgyOTYtM2RhMS00MjMyLTg4MTItNzBhMGIzN2YxNWQ3XkEyXkFqcGdeQXVyMTY4OTczODg2._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Muneeb Butt', 'Ayeza Khan', 'Junaid Khan', 'Momal Sheikh']"
333. Yaariyan,/title/tt21973560/?ref_=sr_i_333,2019,,,TV Series,"Sadia and Zobia are sisters raised with strict family values by their father Hamid. Sadia is married to Ahmar but her rukhsati is on hold while the family waits for her uncle's return from America. Zobia on the other hand is having an affair with Umair. When she invites Umair to Sadia's birthday to introduce him to her family, Sadia does not approve of the rich and spoilt Umair. As the meeting between Umair and both sisters is taking place - Hamid and Ahmer along with his family arrives at the party to surprise Sadia on her birthday. Ahmer misreads the situation completely and assumes that it is actually his wife who is interested in Umair. In a fit of rage Ahmar divorces Sadia on the spot and leaves her. Dejected and helpless Sadia will now have to build a new life in the face of adversity, her father's pressure and her sister's opposition. In this story of abandonment, hatred and revenge - will Sadia and Zobia ever reconcile, will they get the men they wanted in their lives or will their fates be decided by the harshness of time and chance.","https://m.media-amazon.com/images/M/MV5BYWM4OWQ0ODYtYjA5Ny00MjJjLWFlNzItNzYxZWZiOTIwNzcxXkEyXkFqcGdeQXVyMTE3NzM2MzU3._V1_QL75_UY207_CR219,0,140,207_.jpg","['Biography', 'Drama', 'History', 'Back to top']","['Anwar Hossain', 'Anis', 'Anowara', 'Tejen Chakraborty', 'Atia Chowdhury', 'Modi Cohen', 'Kazi Mehfuzul Haque', 'Monjur Hossain', 'Tandra Islam', 'Ali Mansoor', 'Abdul Matin', 'Khan Ataur Rahman', 'M.A. Samad', 'Sultana']"
334. Nawab Sirajuddaula,/title/tt0249836/?ref_=sr_i_334,1967,7.9,(215),,"Mirza Muha Siraj ud-Daulah, more commonly known as Siraj ud-Daulah (1733 - July 2, 1757), was the last independent Nawab of Bengal. The end of his reign marked the start of British East India Company rule over Bengal and later almost all of South Asia. Siraj succeeded his maternal grandfather, Alivardi Khan as the Nawab of Bengal in April 1756 at the age of 23. Betrayed by Mir Jafar, then commander of Nawab's army, Siraj lost the Battle of Plassey on 23 June 1757. The forces of the East India Company under Robert Clive invaded and the administration of Bengal fell into the hands of the Company.","https://m.media-amazon.com/images/M/MV5BZTZkMTkxNjgtZTBmNy00OTMzLWE4OGYtZGQ0NGFmODAyOWFlXkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_QL75_UX140_CR0,6,140,207_.jpg","['Drama', 'Back to top']","['Alyy Khan', 'Faysal Qureshi', 'Mawra Hocane', 'Uzma Gilani', 'Kamran Jillani']"
335. Maryam,/title/tt5121714/?ref_=sr_i_335,2015– ,6.3,(25),TV Series,"'Maryam' is about a young woman (Mawra) who is innocent, fun-loving and bubbly by character she liked Amaan (Faysal Qureshi). Maryam puts forward the proposal of marrying Faisal Qureshi and they happily get married and Maryam lives a life of bliss. The couple had good understanding and trust for each other. Amaan is a man of great ideals who wants to give rightful place to all relations in his life. He lived with his step mother and step brother who always plotted wicked conspiracies against him but he in return Amaan gave them pure love and respect. On the other hand, Alyy Khan (Maryam's cousin) always wanted to marry her but he wasn't her type so he makes a devilish plan of kidnapping Maryam for a day..... And then sends her back. This incident brought great turmoil in Amaan and Maryam's married life.. Maryam gets pregnant, would Amaan believe that this is his kid? Will Amaan trust Maryam of her innocence although he always showed blind trust towards her or would this incident pull them apart from each other?","https://m.media-amazon.com/images/M/MV5BNjNkMTZkNjEtNzViZS00ZjNiLWI5NGQtNmJkZTAyZmU1YTFhXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY207_CR19,0,140,207_.jpg","['Drama', 'Back to top']","['Yasir Akhtar', 'Nouman Ijaz', 'Angeline Malik', 'Fahad Mustafa', 'Seemi Pasha']"
336. La-Hasil,/title/tt6332362/?ref_=sr_i_336,2005–2006,8.1,(12),TV Series,It's a story of redemption of someone and regrets of someone else. It's a story of bringing out yourself from filth and then walking on the path of self-rectification and self-righteousness. It's a story that tells when someone finds the light by the Grace of Almighty then nothing else matters anymore. It's a story of Katherine who becomes Khadeeja Noor. Story of an escort who in the later years of life elevates herself to the level of piety and puts the rest of those self-proclaimed pious people to shame.,"https://m.media-amazon.com/images/M/MV5BZmM3YWQ4ODItMTJkNC00MjZlLWIyMDItYWVmOWM3NmE1YzVkXkEyXkFqcGdeQXVyNDYwMTk5ODc@._V1_QL75_UY207_CR3,0,140,207_.jpg","['Drama', 'Back to top']","['Neelam Muneer', 'Syed Jibran', 'Hina Altaf', 'Fahad Ahmad']"
337. Dikhawa,/title/tt14993326/?ref_=sr_i_337,2020–2021,,,TV Series,"In this human race, ordinary fellowmen often turn into main characters of such complex life stories that sometimes leave us with happiness or peace, and sometimes agony or regret as our fate. Oftentimes our quest for luxury or validation prompts us to compromise our integrity and attempt with unfair and foul means to get the desired outcome. In a haste to impose our superiority over others, we refuse to have any concerns for boundaries set by the society. 7thsky Entertainment's new series Dikhawa aired as part of Geo Entertainment's Ramadan transmission also captures life stories that narrate instances of pretentiousness. Dikhawa depicts how our obsession to influence others through falsehood makes us blinding violate our own societal values.","https://m.media-amazon.com/images/M/MV5BMzk1YmQ2NGEtMzExYy00OWY2LWFjZjktNjZhOGQ5YTAyMTI1XkEyXkFqcGdeQXVyMTI0NzY1MTg5._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Faysal Qureshi', 'Faryal Mehmood', 'Yashma Gill', 'Ali Ansari', 'Faizan Sheikh']"
338. Gustakh,/title/tt12694898/?ref_=sr_i_338,2020– ,,,TV Series,,"https://m.media-amazon.com/images/M/MV5BNmZmYjc1NTEtNmI5Mi00MTM3LWJkMTAtNzk1Nzg4ODNhZDc0XkEyXkFqcGdeQXVyNzI3MTAwMTc@._V1_QL75_UY207_CR1,0,140,207_.jpg","['Action', 'Comedy', 'Drama', 'Back to top']","['Shamoon Abbasi', 'Mustafa Chaudhry', 'Nayyar Ejaz', 'Shabbir Jan', 'Ali Kazmi', 'Sara Loren', 'Mohib Mirza', 'Sanam Saeed', 'Qais Shaukat', 'Salman Saqib Sheikh', 'Imam Syed', 'Hassan Sheheryar Yasin']"
339. Ishrat Made in China,/title/tt17164540/?ref_=sr_i_339,2022,6.9,(77),,Ishrat is a first Pakistani film made in China. An Action Comedy Feature Film by 11.11 Films.,"https://m.media-amazon.com/images/M/MV5BMmYzODhjZTctNjc5MS00MDFiLWEzYTQtOGRmZmRlNjUzNjQ0XkEyXkFqcGdeQXVyODg1MTc3MTM@._V1_QL75_UX140_CR0,1,140,207_.jpg","['Action', 'Drama', 'Back to top']","['Muzaffar Adeeb', 'Geetha Kumarasinghe', 'Mustafa Qureshi', 'Babra Sharif', 'Jawed Sheikh']"
340. Hong Kong Key Sholay,/title/tt0270994/?ref_=sr_i_340,1985,4.0,(41),,"Pakistani Intelligence Officer, Feroz, is sent to help the Hong Kong police track down a terrorist group, led by the evil mastermind, Zangora. Who has misled a scientist into working for him to make a weapon of mass destruction.","https://m.media-amazon.com/images/M/MV5BNGE3NzBkNDUtMTU1Yy00OWJhLWE0NDAtYWU5ZmU3ZGQwOWY0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAzMTc1NjE@._V1_QL75_UY207_CR60,0,140,207_.jpg","['Drama', 'Back to top']","['Fahad Ahmad', 'Ali Abbas', 'Fatima Effendi', 'Falak Shahzad']"
341. Guddu,/title/tt21819230/?ref_=sr_i_341,2022– ,,,TV Series,"Uncertainty and doubt are two elements that are bound to disrupt the foundation of any loving relationship. Guddu is a story of certain relationships that are fuelled by the fire of doubt. Gohar is a young woman who along with her son Guddu leads a blissful and happy life. Despite living away from her husband Ibad, Gohar has never complained about any discomfort. Living in harmony with her in-laws, Gohar is close to her sister-in-law Sidra and both of them share a relationship of love and respect. Soon the arrival of Ibad brings a new wave of happiness for the whole household while an uncertain difficulty arises for Gohar. In efforts to help Sidra overcome a situation, Gohar's naive nature and Ibad's mistrust in Gohar leads to unfortunate circumstances. As their relationships begin to weaken, people close to them disappear as well. Amidst an increase in differences between Gohar and Ibad, what does the future holds for Guddu? Will Gohar be able to defend herself and prove her innocence? Will Ibad and Gohar be able to provide a loving and secure life to Guddu ahead?","https://m.media-amazon.com/images/M/MV5BNGZiM2VjMzMtNGFlNC00ZDkzLWJhYjgtNDcwZGQ4NGIwZTEwXkEyXkFqcGdeQXVyMTI0NzY1MTg5._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Ali Abbas', 'Hina Altaf']"
342. Agar,/title/tt28261318/?ref_=sr_i_342,2022–2023,,,TV Series,"The story revolves around marriages of three children Hooriya, Behram and Annie facing various issues, first due to reluctance of their mother to get them married and later the issues they face adjusting in their individual marriages.",,"['Drama', 'Back to top']","['Firdous', 'Sultan Rahi', 'Rukhsana', 'Sudhir']"
343. Khoon Paseena,/title/tt2955882/?ref_=sr_i_343,1972,,,,,"https://m.media-amazon.com/images/M/MV5BMjYwZDcwMjUtYWQ3NS00MDVkLThlOGMtMTVjOTQ2MzU4MDkxXkEyXkFqcGdeQXVyOTM3ODI3Mjk@._V1_QL75_UY207_CR9,0,140,207_.jpg","['Drama', 'Musical', 'Romance', 'Back to top']","['Shafqat Cheema', 'Wiam Dahmani', 'Ahsan Khan', 'Zubair Ahmed Kumbher', 'Meera', 'Saima Noor', 'Shaan Shahid']"
344. Ishq Khuda,/title/tt3532062/?ref_=sr_i_344,2013,7.4,(62),,"Rulia, a local hood, 'privileged' by the prayers of a Sufi Saint, finds Ishq-e-Khuda (Love Of God). Meanwhile, in a parallel arc, Ahsan, an engineer from Karachi, falls for Iqra, while her bestie Kulsoom is already in love with him.","https://m.media-amazon.com/images/M/MV5BYzIxYWYwNzEtMzg3Mi00MDg1LWE3ZjEtOTNmYTcyODFkZTZhXkEyXkFqcGdeQXVyMzc0NzU5MTc@._V1_QL75_UY207_CR8,0,140,207_.jpg","['Drama', 'Family', 'Fantasy', 'Back to top']","['Azekah Daniel', 'Hassam Khan', 'Omer Shahzad']"
345. Noor Jahan,/title/tt10883384/?ref_=sr_i_345,2016,,,TV Series,he story is based on the life of Noor Jahan - a girl who is the apple of her father's eye because of her innocence and simplicity.,"https://m.media-amazon.com/images/M/MV5BYWFlYjBjMDgtNDdhOS00ZDU4LTg3MmMtMmQyYjgyNzEyYjdlXkEyXkFqcGdeQXVyMTA5MzE0OTM3._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Mirza Zain Baig', 'Namrah Shahid', 'Humaira Bano', 'Zarnish Khan', 'Shabbir Jan', 'Farah Nadeem', 'Tariq Jameel', 'Lubna Aslam', 'Affan Waheed']"
346. Aik Mohabbat Kafi Hai,/title/tt9584438/?ref_=sr_i_346,2018– ,8.1,(14),TV Series,,"https://m.media-amazon.com/images/M/MV5BZGU2MGEwYjctNjRkYy00OTRkLTgyMTMtNmYzMGI5MTcwOTE5XkEyXkFqcGdeQXVyOTc1ODUxMDU@._V1_QL75_UY207_CR114,0,140,207_.jpg","['Drama', 'Back to top']","['Javeria Abbasi', 'Hasan Noman', 'Aamir Qureshi', 'Komal Rizvi', 'Alizeh Shah', 'Danyal Zafar', 'Ismat Zaidi']"
